date,supply_id,total_possible_utilization,supply_category_id,del_imps,edges,avg_perf,num_dem_cats,frac_util
1,853,3362,1,400,11,0.68,10,0.119
1,919,556129,4,168299,89,0.64,8,0.3026
1,3844421,127762,2,2,2,0,1,0
1,3844440,154,2,6,1,1,1,0.039
1,3844441,165,NA,0,0,0,0,0
1,3844442,12,NA,0,0,0,0,0
1,3844449,6248,2,244,6,0.97,2,0.0391
1,3844459,99,1,19,9,0.58,3,0.1919
1,3844480,26801,1,7193,134,0.14,14,0.2684
1,3844517,1131,1,930,54,0.91,9,0.8223
1,3844518,1061,1,926,60,0.92,13,0.8728
1,3844548,6590,1,2544,74,0.97,15,0.386
1,3844564,261046,2,14944,105,0.78,26,0.0572
1,3844570,23452,2,14728,101,0.86,8,0.628
1,3844571,42802435,2,26173,32,0.73,10,6e-04
1,3844583,27,2,3,3,0.67,3,0.1111
1,3844593,3346,2,300,6,0.24,2,0.0897
1,3844610,84,1,57,4,0.46,4,0.6786
1,3844621,312,1,65,6,0.74,3,0.2083
1,3844628,31991,1,23320,75,0.67,19,0.729
1,3844635,3029,1,1,1,1,1,3e-04
1,3844650,1,NA,0,0,0,0,0
1,3844651,236206,1,59626,128,0.54,12,0.2524
1,3844654,63,1,39,22,0.21,2,0.619
1,3844656,3026,1,35,3,0.51,1,0.0116
1,3844657,1953,1,343,9,0.98,1,0.1756
1,3844658,1953,1,43,5,1,1,0.022
1,3844659,953,1,1,1,1,1,0.001
1,3844684,3180101,2,144032,17,0.99,3,0.0453
1,3844692,8862,2,8035,52,0.8,6,0.9067
1,3844702,424841,3,264135,214,0.54,26,0.6217
1,3844709,971923,1,26475,20,0.72,13,0.0272
1,3844727,6,1,2,2,1,2,0.3333
1,3844778,8595,4,187,1,0.79,1,0.0218
1,3844785,14,2,2,1,0.5,1,0.1429
1,3844786,101,2,0,0,0,0,0
1,3844790,343626,4,3,2,1,2,0
1,3844812,1467660,2,279809,108,0.45,32,0.1906
1,3844831,69919,3,31417,230,0.6,27,0.4493
1,3844834,1951520,1,274909,72,0.65,23,0.1409
1,3844843,1202,2,1004,15,0.62,3,0.8353
1,3844866,948,1,58,16,0.84,4,0.0612
1,3844871,149629,1,143365,143,0.8,13,0.9581
1,3844873,1073,1,434,11,0.63,4,0.4045
1,3844929,210812,2,3391,30,0.28,15,0.0161
1,3844934,32750,1,2727,11,0.56,4,0.0833
1,3844946,1495,2,428,2,0.45,2,0.2863
1,3844947,2346,3,1540,23,0.67,13,0.6564
1,3844950,635,2,0,0,0,0,0
1,3844962,87683,2,3660,56,0.78,21,0.0417
1,3845009,2922512,3,2281300,1,0.68,1,0.7806
1,3845025,640,1,92,20,0.93,5,0.1438
1,3845026,658,1,101,20,0.93,6,0.1535
1,3845041,4782,1,40,2,0.42,2,0.0084
1,3845042,21460,1,387,27,0.22,10,0.018
1,3845049,10,1,0,0,0,0,0
1,3845050,24,1,5,1,0,1,0.2083
1,3845051,37643,1,2941,45,0.8,16,0.0781
1,3845067,10749,1,695,103,0.51,22,0.0647
1,3845079,8,NA,0,0,0,0,0
1,3845086,152799,1,67275,246,0.41,16,0.4403
1,3845088,721559,2,202289,271,0.68,14,0.2803
1,3845096,2823843,3,321994,76,0.62,24,0.114
1,3845098,5,1,0,0,0,0,0
1,3845249,20057,1,12392,29,0.79,10,0.6178
1,3845260,488567,3,111378,132,0.36,15,0.228
1,3845261,1942,3,602,47,0.49,19,0.31
1,3845297,4050780,1,13169,181,0.57,28,0.0033
1,3845368,75503,1,63350,102,0.66,22,0.839
1,3845389,7,3,0,0,0,0,0
1,3845435,171122,3,4847,9,0.27,6,0.0283
1,3845437,2736,3,26,6,0.73,6,0.0095
1,3845438,24350,3,10,6,0.6,4,4e-04
1,3845471,7020,3,5358,34,0.84,9,0.7632
1,3845472,47056,3,1928,16,0.46,5,0.041
1,3845478,27405,1,0,0,0,0,0
1,3845490,732,1,516,18,0.79,4,0.7049
1,3845493,201595,1,5706,9,0.82,9,0.0283
1,3845494,63559,1,0,0,0,0,0
1,3845510,120,1,0,0,0,0,0
1,3845515,42,1,0,0,0,0,0
1,3845518,860,1,211,31,0.5,6,0.2453
1,3845519,1,NA,0,0,0,0,0
1,3845522,1704,1,1222,1,0.52,1,0.7171
