date,supply_id,total_possible_utilization
01,853,3362
01,919,556129
01,3844421,127762
01,3844440,154
01,3844441,165
01,3844442,12
01,3844449,6248
01,3844459,99
01,3844480,26801
01,3844517,1131
01,3844518,1061
01,3844548,6590
01,3844564,261046
01,3844570,23452
01,3844571,42802435
01,3844583,27
01,3844593,3346
01,3844610,84
01,3844621,312
01,3844628,31991
01,3844635,3029
01,3844650,1
01,3844651,236206
01,3844654,63
01,3844656,3026
01,3844657,1953
01,3844658,1953
01,3844659,953
01,3844684,3180101
01,3844692,8862
01,3844702,424841
01,3844709,971923
01,3844727,6
01,3844778,8595
01,3844785,14
01,3844786,101
01,3844790,343626
01,3844812,1467660
01,3844831,69919
01,3844834,1951520
01,3844843,1202
01,3844866,948
01,3844871,149629
01,3844873,1073
01,3844929,210812
01,3844934,32750
01,3844946,1495
01,3844947,2346
01,3844950,635
01,3844962,87683
01,3845009,2922512
01,3845025,640
01,3845026,658
01,3845041,4782
01,3845042,21460
01,3845049,10
01,3845050,24
01,3845051,37643
01,3845067,10749
01,3845079,8
01,3845086,152799
01,3845088,721559
01,3845096,2823843
01,3845098,5
01,3845249,20057
01,3845260,488567
01,3845261,1942
01,3845297,4050780
01,3845368,75503
01,3845389,7
01,3845435,171122
01,3845437,2736
01,3845438,24350
01,3845471,7020
01,3845472,47056
01,3845478,27405
01,3845490,732
01,3845493,201595
01,3845494,63559
01,3845510,120
01,3845515,42
01,3845518,860
01,3845519,1
01,3845522,1704
01,3845527,4338
01,3845532,181
01,3845551,48447
01,3845559,7030
01,3845572,2892666
01,3845582,29412
01,3845593,241878
01,3845598,2
01,3845604,3382728
01,3845607,418
01,3845616,44614
01,3845632,356
01,3845633,88
01,3845634,23
01,3845637,12
01,3845638,35
01,3845639,36
01,3845653,19
01,3845655,1707
01,3845656,13
01,3845663,1581
01,3845664,774
01,3845665,1359
01,3845666,134
01,3845706,968374
01,3845762,7445
01,3845858,49
01,3845859,649568
01,3845860,66318
01,3845878,1247
01,3845879,9
01,3845888,80
01,3845889,732812
01,3845905,5
01,3845906,5846
01,3845976,359
01,3845977,286
01,3845978,117
01,3845979,381
01,3845993,5524886
01,3845999,1760
01,3846003,3605660
